Auction ID,Status,Minimum Bid,Open Date/Time,Close Date/Time,Attorney,Debt Amount,Book/Writ,OPA,Address,County,Sale Type,Final Bid,Page Status,Num Bids,Auction Closed,Page Min Bid (check),Delta vs Min Bid,% Over Min Bid,Delta vs Debt,Fetch Note
1279084,Preview,18400,07-07-26 10:00 AM,07-07-26 01:00 PM,THE MANLEY LAW FIRM LLC,146838,2607-357,522136200,5721 WYNDALE AVENUE PHILADELPHIA PA 19131,Philadelphia,MORTGAGE FORECLOSURE,157000,Sold to Plaintiff,16,07-07-26 01:00 PM ET,18400,138600,753.3,10162,
1279090,Preview,12100,07-07-26 10:00 AM,07-07-26 01:00 PM,"PINCUS LAW GROUP, PLLC",109960,2607-363,112126900,1728 WEST VENANGO STREET PHILADELPHIA PA 19140,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1279096,Preview,18000,07-07-26 10:00 AM,07-07-26 01:00 PM,"MCCABE, WEISBERG & CONWAY, LLC",201287,2607-369,888152658,825 NORTH 29TH STREET PHILADELPHIA PA 19130,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1279102,Preview,8500,07-07-26 10:00 AM,07-07-26 01:00 PM,"EISENBERG, GOLD & AGRAWAL, PC",83538,2607-375,331412900,3216 POTTER STREET PHILADELPHIA PA 19134,Philadelphia,MORTGAGE FORECLOSURE,50222,Sold,20,07-07-26 01:06 PM ET,8500,41722,490.8,-33316,
1279108,Preview,18600,07-07-26 10:00 AM,07-07-26 01:00 PM,"BROCK & SCOTT, PLLC",53173,2607-381,251009400,2708 EAST SOMERSET STREET PHILADELPHIA PA 19134,Philadelphia,MORTGAGE FORECLOSURE,90500,Sold,13,07-07-26 01:01 PM ET,18600,71900,386.6,37327,
1279114,Preview,1165800,07-07-26 10:00 AM,07-07-26 01:00 PM,"HOURIGAN, KLUGER & QUINN PC",4173339,2607-387,882841700,29-79 EAST CHELTEN AVENUE PHILADELPHIA PA 19144,Philadelphia,MORTGAGE FORECLOSURE,1167800,Sold to Plaintiff,2,07-07-26 01:00 PM ET,1165800,2000,0.2,-3005539,
1279540,Preview,17700,07-07-26 10:00 AM,07-07-26 01:00 PM,KIVITZ & KIVITZ P.C.,5715769,2607-394A & 2607-394B,452124000 & 452124100,1915 CLARENCE STREET PHILADELPHIA PA 19134 & 1917 CLARENCE STREET PHILADELPHIA PA 19134,Philadelphia,MORTGAGE FORECLOSURE,43700,Sold to Plaintiff,14,07-07-26 01:10 PM ET,17700,26000,146.9,-5672069,
1280028,Preview,17500,07-07-26 10:00 AM,07-07-26 01:00 PM,LAROCCA HORNIK GREENBERG KITTREDGE CARLIN & MCPARTLAND LLP,673186,2607-420,272130600,42 SOUTH 44TH STREET PHILADELPHIA PA 19104,Philadelphia,MORTGAGE FORECLOSURE,282000,Sold to Plaintiff,7,07-07-26 01:00 PM ET,17500,264500,1511.4,-391186,
1280034,Preview,12700,07-07-26 10:00 AM,07-07-26 01:00 PM,BARLEY SNYDER LLP,276773,2607-426,441324100,622 NORTH 48TH STREET PHILADELPHIA PA 19139,Philadelphia,MORTGAGE FORECLOSURE,167000,Sold to Plaintiff,26,07-07-26 01:17 PM ET,12700,154300,1215.0,-109773,
1280383,Preview,19400,07-07-26 10:00 AM,07-07-26 01:00 PM,HLADIK ONORATO & FEDERMAN LLP,446732,2607-416,151379600,817 CAMERON STREET PHILADELPHIA PA 19130,Philadelphia,MORTGAGE FORECLOSURE,75000,Sold to Plaintiff,21,07-07-26 01:13 PM ET,19400,55600,286.6,-371732,
1281385,Preview,25800,07-07-26 10:00 AM,07-07-26 01:00 PM,"STERN & EISENBERG, PC",217008,2605-414,222115900,355 EAST GORGAS LANE AKA 355 E GORGAS LANE PHILADELPHIA PA 19119,Philadelphia,MORTGAGE FORECLOSURE,131000,Sold to Plaintiff,3,07-07-26 01:00 PM ET,25800,105200,407.8,-86008,
1281562,Preview,15600,07-07-26 10:00 AM,07-07-26 01:00 PM,FRIEDMAN VARTOLO LLP,301987,2604-342,871517840,5052 GERMANTOWN AVENUE PHILADELPHIA PA 19144,Philadelphia,MORTGAGE FORECLOSURE,181000,Sold to Plaintiff,5,07-07-26 01:00 PM ET,15600,165400,1060.3,-120987,
1281659,Preview,11700,07-07-26 10:00 AM,07-07-26 01:00 PM,BARLEY SNYDER,55702,2603-338,492117400,5212 NORTH MARSHALL STREET PHILADELPHIA PA 19120,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1281665,Preview,19600,07-07-26 10:00 AM,07-07-26 01:00 PM,"EISENBERG, GOLD & AGRAWAL, PC",295660,2605-421,562023310,1917 FULLER STREET PHILADELPHIA PA 19152,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1281754,Preview,9400,07-07-26 10:00 AM,07-07-26 01:00 PM,"BROCK & SCOTT, PLLC",13793,2601-387,043163800,1469 NORTH HOBART STREET PHILADELPHIA PA 19131,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1281824,Preview,19900,07-07-26 10:00 AM,07-07-26 01:00 PM,HILL WALLACK LLP,300674,2603-418,011337800,1316 SOUTH REESE PHILADELPHIA PA 19147,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1282012,Preview,39200,07-07-26 10:00 AM,07-07-26 01:00 PM,MANLEY DEAS KOCHALSKI LLC,84086,2306-341,501291300,7349 LIMEKILN PIKE PHILADELPHIA PA 19138,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1282024,Preview,9700,07-07-26 10:00 AM,07-07-26 01:00 PM,"MCCABE, WEISBERG, & CONWAY, LLC",203022,2504-423,511143100,5221 FLORENCE AVENUE PHILADELPHIA PA 19143,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1282076,Preview,16200,07-07-26 10:00 AM,07-07-26 01:00 PM,"STERN & EISENBERG, PC",300275,2602-379,232096100, 2120-22 ORTHODOX STREET PHILADELPHIA PA 19124,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1282082,Preview,30100,07-07-26 10:00 AM,07-07-26 01:00 PM,WEBER GALLAGHER SIMPSON STAPLETON FIRES & NEWBY LLP,182170,2603-332,511083400,5306 ANGORA TERRACE PHILADELPHIA PA 19143,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1282088,Preview,15000,07-07-26 10:00 AM,07-07-26 01:00 PM,HILL WALLACK LLP,173352,2603-420,252372600,3056 TULIP STREET PHILADELPHIA PA 19134,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1282244,Preview,25400,07-07-26 10:00 AM,07-07-26 01:00 PM,"KML LAW GROUP, P.C.",389749,2604-431,344157600,7029 BRENTWOOD ROAD PHILADELPHIA PA 19151,Philadelphia,MORTGAGE FORECLOSURE,84000,Sold to Plaintiff,5,07-07-26 01:00 PM ET,25400,58600,230.7,-305749,
1282268,Preview,16500,07-07-26 10:00 AM,07-07-26 01:00 PM,STERN & EISENBERG PC,155417,2605-397,604101000,5638 PINE STREET PHILADELPHIA PA 19143,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1282468,Preview,10700,07-07-26 10:00 AM,07-07-26 01:00 PM,"MCCALLA RAYMER LEIBERT PIERCE, LLP",671057,2602-334,371142700,2252 NORTH DELHI STREET PHILADELPHIA PA 19133,Philadelphia,MORTGAGE FORECLOSURE,32700,Sold to Plaintiff,12,07-07-26 01:00 PM ET,10700,22000,205.6,-638357,
1282573,Preview,15100,07-07-26 10:00 AM,07-07-26 01:00 PM,LAROCCA HORNIK GREENBERG KITTREDGE CARLIN & MCPARTLAND LLP,173678,2605-361,101297100,1823 72ND AVENUE PHILADELPHIA PA 19126,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1282579,Preview,17600,07-07-26 10:00 AM,07-07-26 01:00 PM,FRIEDMAN VARTOLO LLP,248656,2605-404,011022900,212 WILDER STREET PHILADELPHIA PA 19147,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1285399,Preview,29100,07-07-26 10:00 AM,07-07-26 01:00 PM,ORLANS ASSOCIATES PC,129242,2606-439,343139200,418 EDGEMORE ROAD PHILADELPHIA PA 19151,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1286655,Preview,26600,07-07-26 10:00 AM,07-07-26 01:00 PM,THE MANLEY LAW FIRM LLC,413260,2606-423,056161545,514 POPLAR STREET PHILADELPHIA PA 19123,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1287028,Preview,41000,07-07-26 10:00 AM,07-07-26 01:00 PM,MATTIONI LTD,463058,2605-376,311170900,2605 FRANKFORD AVENUE PHILADELPHIA PA 19125,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1287064,Preview,35000,07-07-26 10:00 AM,07-07-26 01:00 PM,LAW OFF OF CHRISTOPHER DEAN PROF LLC,104360,2606-426B & 2606-426A,871117700 & 871532550,1818 EAST ALLEGHENY AVENUE PHILADELPHIA PA 19134 & 1816 EAST ALLEGHENY AVENUE PHILADELPHIA PA 19134,Philadelphia,MORTGAGE FORECLOSURE,71000,Sold,4,07-07-26 01:04 PM ET,35000,36000,102.9,-33360,
1287484,Preview,19600,07-07-26 10:00 AM,07-07-26 01:00 PM,HILL WALLACK LLP,252188,2606-343,514079800,5454 WINDSOR STREET PHILADELPHIA PA 19143,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1287789,Preview,68600,07-07-26 10:00 AM,07-07-26 01:00 PM,"HLADIK, ONORATO & FEDERMAN, LLP",846798,2512-441,472059600,1944 CECIIL B. MOORE AVENUE PHILADELPHIA PA 19121,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:01 PM ET,,,,,
1287952,Preview,81900,07-07-26 10:00 AM,07-07-26 01:00 PM,"STERN & EISENBERG, PC",193556,2510-443,342359900,745 NORTH 63RD STREET PHILADELPHIA PA 19151,Philadelphia,MORTGAGE FORECLOSURE,101900,Sold to Plaintiff,5,07-07-26 01:00 PM ET,81900,20000,24.4,-91656,
1293114,Preview,23800,07-07-26 10:00 AM,07-07-26 01:00 PM,"HLADIK, ONORATO & FEDERMAN, LLP",80515,2507-387,501281400,7330 LIMELKILN PIKE PHILADELPHIA PA 19138,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1293407,Preview,650200,07-07-26 10:00 AM,07-07-26 01:00 PM,"MCCARTER & ENGLISH, LLP",18884218,2603-442C & 2603-442B & 2603-442A,881121040 & 881121035 & 881121800,4416-4418 WALNUT STREET PHILADELPHIA PA 19104 & 4412-4414 WALNUT STREET PHILADELPHIA PA 19104 & 4401-4411 WALNUT STREET PHILADELPHIA PA 19104,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1273219,Preview,15400,07-07-26 10:00 AM,07-07-26 01:10 PM,"KML LAW GROUP, P.C.",14920,2604-369,332214900,3829 ELSINORE STREET PHILADELPHIA PA 19124,Philadelphia,MORTGAGE FORECLOSURE,,Stayed,,07-07-26 01:10 PM ET,,,,,
1273807,Preview,22000,07-07-26 10:00 AM,07-07-26 01:10 PM,FRIEDMAN VARTOLO LLP,103117,2602-424,511070900,1147 SOUTH 54TH STREET PHILADELPHIA PA 19143,Philadelphia,MORTGAGE FORECLOSURE,30000,Sold to Plaintiff,5,07-07-26 01:10 PM ET,22000,8000,36.4,-73117,
1275406,Preview,22100,07-07-26 10:00 AM,07-07-26 01:10 PM,"STERN & EISENBERG, PC",310793,2502-361,191423900,505 WEST DAUPHIN STREET PHILADELPHIA PA 19133,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1275554,Preview,19400,07-07-26 10:00 AM,07-07-26 01:10 PM,"KML LAW GROUP, P.C.",71164,2604-363,404072100,2615 SOUTH 73RD STREET PHILADELPHIA PA 19153,Philadelphia,MORTGAGE FORECLOSURE,,Stayed,,07-07-26 01:10 PM ET,,,,,
1275765,Preview,43000,07-07-26 10:00 AM,07-07-26 01:10 PM,"FRIEDMAN, SCHUMAN, LAYSER, P.C.",740629,2603-404,882067780,5801-03 GERMANTOWN AVENUE PHILADELPHIA PA 19144,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1278614,Preview,19900,07-07-26 10:00 AM,07-07-26 01:10 PM,"STERN & EISENBERG, PC",133730,2607-325,012126300,743 WATKINS STREET PHILADELPHIA PA 19148,Philadelphia,MORTGAGE FORECLOSURE,104000,Sold to Plaintiff,7,07-07-26 01:10 PM ET,19900,84100,422.6,-29730,
1279073,Preview,29700,07-07-26 10:00 AM,07-07-26 01:10 PM,"BROCK & SCOTT, PLLC",319313,2607-346,451457910,2210 EAST PACIFIC STREET PHILADELPHIA PA 19134,Philadelphia,MORTGAGE FORECLOSURE,,Stayed,,07-07-26 01:10 PM ET,,,,,
1279079,Preview,11900,07-07-26 10:00 AM,07-07-26 01:10 PM,"LAW OFFICE OF GREGORY JAVARDIAN, LLC",70147,2607-352,612365000,5842 NORTH 4TH STREET PHILADELPHIA PA 19120,Philadelphia,MORTGAGE FORECLOSURE,,Stayed,,07-07-26 01:10 PM ET,,,,,
1279091,Preview,17200,07-07-26 10:00 AM,07-07-26 01:10 PM,"KML LAW GROUP, P.C.",365019,2607-364,393074400,609 JACKSON STREET PHILADELPHIA PA 19148,Philadelphia,MORTGAGE FORECLOSURE,136000,Sold to Plaintiff,7,07-07-26 01:13 PM ET,17200,118800,690.7,-229019,
1279097,Preview,18300,07-07-26 10:00 AM,07-07-26 01:10 PM,"MCCABE, WEISBERG & CONWAY, LLC",275615,2607-370,152269700,2731 RENO STREET PHILADELPHIA PA 19130,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1279109,Preview,34300,07-07-26 10:00 AM,07-07-26 01:10 PM,HILL WALLACK LLP,166012,2607-382,301219500,1918 MONTROSE STREET PHILADELPHIA PA 19146,Philadelphia,MORTGAGE FORECLOSURE,,Stayed,,07-07-26 01:10 PM ET,,,,,
1279541,Preview,50700,07-07-26 10:00 AM,07-07-26 01:10 PM,FRIEDMAN VARTOLO LLP,829953,2607-395C & 2607-395A & 2607-395B,034103400 & 514089400 & 463097300,5909 BELMAR STREET PHILADELPHIA PA 19143 & 5429 BELMAR STREET PHILADELPHIA PA 19143 & 5647 CATHARINE STREET PHILADELPHIA PA 19143,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1279904,Preview,23900,07-07-26 10:00 AM,07-07-26 01:10 PM,STERN & EISENBERG PC,807530,2605-400,371285100,2335 NORTH PARK AVENUE PHILADELPHIA PA 19132,Philadelphia,MORTGAGE FORECLOSURE,101900,Sold to Plaintiff,8,07-07-26 01:13 PM ET,23900,78000,326.4,-705630,
1280011,Preview,13500,07-07-26 10:00 AM,07-07-26 01:10 PM,"KML LAW GROUP, P.C.",202533,2607-399,034125200,1532 SOUTH 58TH STREET PHILADELPHIA PA 19143,Philadelphia,MORTGAGE FORECLOSURE,59500,Sold to Plaintiff,16,07-07-26 01:16 PM ET,13500,46000,340.7,-143033,
1280023,Preview,23100,07-07-26 10:00 AM,07-07-26 01:10 PM,KML LAW GROUP P.C.,295000,2607-411,342111200,6148 WEST COLUMBIA AVENUE PHILADELPHIA PA 19151,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1280029,Preview,11000,07-07-26 10:00 AM,07-07-26 01:10 PM,HILL WALLACK LLP,96055,2607-421,344279100,718 MARLYN ROAD PHILADELPHIA PA 19151,Philadelphia,MORTGAGE FORECLOSURE,101000,Sold,10,07-07-26 01:10 PM ET,11000,90000,818.2,4945,
1280035,Preview,13100,07-07-26 10:00 AM,07-07-26 01:10 PM,"LEOPOLD & ASSOCIATES, PLLC",96421,2607-427,352062700,1072 ALCOTT STREET PHILADELPHIA PA 19149,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1280384,Preview,17300,07-07-26 10:00 AM,07-07-26 01:10 PM,HLADIK ONORATO & FEDERMAN LLP,,2607-417,322182400,2044 NORTH 25TH STREET PHILADELPHIA PA 19121,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:17 PM ET,,,,,
1281380,Preview,20200,07-07-26 10:00 AM,07-07-26 01:10 PM,LAW OFFICE OF GREGORY JAVARDIAN LLC,69799,2605-357,532351800,1306 ENGLEWOOD STREET PHILADELPHIA PA 19111,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1281387,Preview,42800,07-07-26 10:00 AM,07-07-26 01:10 PM,KIVITZ & KIVITZ P.C.,350000,2605-440B & 2605-440A,581065100 & 581060700,2117 BOWLER STREET PHILADELPHIA PA 19115 & 2112 BOWLER STREET PHILADELPHIA PA 19115,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1281666,Preview,22100,07-07-26 10:00 AM,07-07-26 01:10 PM,MCCALLA RAYMER LEIBERT PIERCE,112804,2605-454,551542200,6704 ROWLAND AVENUE PHILADELPHIA PA 19149,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1281825,Preview,10400,07-07-26 10:00 AM,07-07-26 01:10 PM,HILL WALLACK LLP,111374,2603-421,441105400,232 RAMSEY STREET AKA 232 NORTH RAMSEY STREET PHILADELPHIA PA 19139,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1282043,Preview,37600,07-07-26 10:00 AM,07-07-26 01:10 PM,MANLEY DEAS KOCHALSKI LLC,25295,2509-389,234108300,1124 FILLMORE STREET PHILADELPHIA PA 19124,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1282049,Preview,14800,07-07-26 10:00 AM,07-07-26 01:10 PM,"KML LAW GROUP, P.C.",34903,2511-325,402032900,2433 SOUTH EDGEWOOD STREET PHILADELPHIA PA 19142,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1282055,Preview,7800,07-07-26 10:00 AM,07-07-26 01:10 PM,FRIEDMAN VARTOLO LLP,740394,2512-473B,121024300,78 EAST CLAPIER STREET PHILADELPHIA PA 19144,Philadelphia,MORTGAGE FORECLOSURE,49800,Sold to Plaintiff,15,07-07-26 01:13 PM ET,7800,42000,538.5,-690594,
1282089,Preview,17400,07-07-26 10:00 AM,07-07-26 01:10 PM,HILL WALLACK LLP,192784,2603-422,251405300,3067 CHATHAM STREET PHILADELPHIA PA 19134,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1282251,Preview,26100,07-07-26 10:00 AM,07-07-26 01:10 PM,"PINCUS LAW GROUP, PLLC",1186630,2605-312,251182600,3077 SALMON STREET PHILADELPHIA PA 19134,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1282257,Preview,26200,07-07-26 10:00 AM,07-07-26 01:10 PM,THE MANLEY LAW FIRM LLC,53168,2605-338,021161500,805 ALTER STREET PHILADELPHIA PA 19147,Philadelphia,MORTGAGE FORECLOSURE,292000,Sold,58,07-07-26 02:41 PM ET,26200,265800,1014.5,238832,
1282263,Preview,16200,07-07-26 10:00 AM,07-07-26 01:10 PM,"EISENBERG, GOLD & AGRAWAL, PC",67797,2605-379,101287800,1968 DALLAS STREET A/K/A 1968 DALLAS ROAD PHILADELPHIA PA 19138,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1282275,Preview,11900,07-07-26 10:00 AM,07-07-26 01:10 PM,THE MANLEY LAW FIRM LLC,49490,2605-427,162218500,2606 NORTH 22ND STREET PHILADELPHIA PA 19132,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1282574,Preview,15500,07-07-26 10:00 AM,07-07-26 01:10 PM,LAROCCA HORNIK GREENBERG KITTREDGE CARLIN & MCPARTLAND LLP,123393,2605-362,441161600,31 NORTH 53RD STREET PHILADELPHIA PA 19139,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1282580,Preview,22900,07-07-26 10:00 AM,07-07-26 01:10 PM,LAROCCA HORNIK GREENBERG KITTREDGE CARLIN & MCPARTLAND LLP,161091,2605-410,491424500,4835 NORTH MARVINE STREET PHILADELPHIA PA 19141,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1283024,Preview,80700,07-07-26 10:00 AM,07-07-26 01:10 PM,FRIEDMAN VARTOLO LLP,441148,2601-430B & 2601-430A & 2601-430C,043111200 & 041119700 & 441219900,1321 NORTH ALDEN STREET PHILADELPHIA PA 19131 & 10 NORTH YEWDALL STREET PHILADELPHIA PA 19139 & 5041 HAVERFORD AVENUE PHILADELPHIA PA 19139,Philadelphia,MORTGAGE FORECLOSURE,80700,Sold to Plaintiff,1,07-07-26 01:10 PM ET,80700,0,0.0,-360448,
1285211,Preview,22900,07-07-26 10:00 AM,07-07-26 01:10 PM,"KML LAW GROUP, P.C.",101196,2602-330,102502100,6962 CEDAR PARK AVENUE PHILADELPHIA PA 19138,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1286172,Preview,11800,07-07-26 10:00 AM,07-07-26 01:10 PM,FRIEDMAN VARTOLO LLP,413905,2604-330,112059100,1627 WEST ONTARIO STREET PHILADELPHIA PA 19140,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,,,,,,
1286638,Preview,19000,07-07-26 10:00 AM,07-07-26 01:10 PM,"MCCABE, WEISBERG & CONWAY, LLC",288664,2605-308,361237700,2515 ELLSWORTH STREET PHILADELPHIA PA 19146,Philadelphia,MORTGAGE FORECLOSURE,223000,Sold,35,07-07-26 01:12 PM ET,19000,204000,1073.7,-65664,
1286937,Preview,29000,07-07-26 10:00 AM,07-07-26 01:10 PM,ZARWIN BAUM DEVITO KAPLAN SCHAER TODDY PC,113685,2501-388,621203900,2115 STEVENS STREET PHILADELPHIA PA 19149,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1286993,Preview,326700,07-07-26 10:00 AM,07-07-26 01:10 PM,FLECK ECKERT KLEIN  LLC,7500323,2603-452,881560523,1701 FAIRMOUNT AVENUE PHILADELPHIA PA 19130,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1287017,Preview,15300,07-07-26 10:00 AM,07-07-26 01:10 PM,HILL WALLACK LLP,134980,2604-413,191233000,2357 NORTH LEIITHGOW STREET PHILADELPHIA PA 19133,Philadelphia,MORTGAGE FORECLOSURE,53000,Sold to Plaintiff,10,07-07-26 01:10 PM ET,15300,37700,246.4,-81980,
1287431,Preview,31600,07-07-26 10:00 AM,07-07-26 01:10 PM,"KAPLIN, STEWART, MELOFF REITER & STEIN, P.C.",184830,2601-350,101272200,1956 GEORGIAN ROAD PHILADELPHIA PA 19138,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:10 PM ET,,,,,
1287443,Preview,12700,07-07-26 10:00 AM,07-07-26 01:10 PM,FRIEDMAN VARTOLO LLP,848404,2602-473,161174900,2626 NORTH 17TH STREET PHILADELPHIA PA 19132,Philadelphia,MORTGAGE FORECLOSURE,30700,Sold to Plaintiff,10,07-07-26 01:10 PM ET,12700,18000,141.7,-817704,
1287491,Preview,29600,07-07-26 10:00 AM,07-07-26 01:10 PM,"BROCK & SCOTT, PLLC",260085,2606-368,59206 4700,452 EAST WALNUT LANE PHILADELPHIA PA 19144,Philadelphia,MORTGAGE FORECLOSURE,121000,Sold to Plaintiff,3,07-07-26 01:10 PM ET,29600,91400,308.8,-139085,
